RECORD_ID,VIOLATION_CATEGORY,VIOLATION,REPORTED_DATE,RECORD_STATUS,STATUS_DATE,PARCEL_NBR,STREET_NBR,STREET_DIR,STREET_NAME,STREET_TYPE,ZIP,FID
ENV-16-05728,Environmental,Litter,2016-06-06T04:00:00.000Z,Billed,2016-06-07T04:00:00.000Z,71-08-03-481-006.000-026,1802,,FASSNACHT,AVE,46628,17113
ENV-16-05579,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-10-206-004.00-026,2006,,LINDEN,Ave,46628,17114
ENV-16-05684,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Closed,2016-06-17T04:00:00.000Z,71-08-11-178-001.00-026,1148,,THOMAS,St,46625,17115
ENV-16-05893,Environmental,Grass and Weeds,2016-06-08T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-24-176-011.000-026,111,E,ECKMAN,ST,46614,17116
ENV-16-05782,Environmental,Grass and Weeds,2016-06-06T04:00:00.000Z,Crew Assigned for Clean-Up,2016-06-22T04:00:00.000Z,71-08-11-103-025.000-026,207,,STUDEBAKER,ST,46628,17117
ENV-16-05530,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-08-01-479-004.00-026,510,N,NOTRE DAME,Ave,46617,17118
ENV-16-05837,Environmental,Litter,2016-06-07T04:00:00.000Z,Billed,2016-06-27T04:00:00.000Z,71-08-02-187-010.000-026,1036,,CALIFORNIA,AVE,46616,17119
ENV-16-05632,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Billed,2016-06-23T04:00:00.000Z,71-08-10-135-007.000-026,2602,W,COLFAX,AVE,46619,17120
ENV-16-05729,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-03-481-009.000-026,1811,,SIBLEY,AVE,46628,17121
ENV-16-05580,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-10-206-003.00-026,2008,,LINDEN,Ave,46628,17122
ENV-16-05685,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Billed,2016-06-22T04:00:00.000Z,71-08-11-178-012.00-026,264,,MAPLE,St,46601,17123
ENV-16-05783,Environmental,Grass and Weeds,2016-06-06T04:00:00.000Z,Closed,2016-06-28T04:00:00.000Z,71-08-11-105-008.000-026,226,,STUDEBAKER,ST,46628,17124
ENV-16-05894,Environmental,Grass and Weeds,2016-06-08T04:00:00.000Z,Crew Assigned for Clean-Up,2016-06-23T04:00:00.000Z,71-09-08-232-014.00-026,134,,TIMBER,Ln,46613,17125
ENV-16-05531,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-27T04:00:00.000Z,71-09-18-151-001.00-026,1210,,MIAMI,St,46601,17126
ENV-16-05838,Environmental,Litter,2016-06-07T04:00:00.000Z,Billed,2016-06-27T04:00:00.000Z,71-08-02-187-013.000-026,911,,SHERMAN,AVE,46616,17127
ENV-16-05633,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Billed,2016-06-23T04:00:00.000Z,71-08-10-135-005.000-026,2610,W,COLFAX,AVE,46619,17128
ENV-16-05730,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-21T04:00:00.000Z,71-08-02-179-008.00-026,1122,,PORTAGE,Ave,46616,17129
ENV-16-05581,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-10-206-002.00-026,2010,,LINDEN,Ave,46628,17130
ENV-16-05784,Environmental,Grass and Weeds,2016-06-06T04:00:00.000Z,Closed,2016-06-09T04:00:00.000Z,71-09-06-381-018.000-026,1330,,CEDAR,St,46617,17131
ENV-16-05686,Environmental,Vegetation,2016-06-04T04:00:00.000Z,Crew Assigned for Clean-Up,2016-06-17T04:00:00.000Z,71-08-11-178-012.00-026,264,,MAPLE,St,46601,17132
ENV-16-05532,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-09-18-155-008.000-026,1116,E,BROADWAY,ST,46601,17133
ENV-16-05839,Environmental,Litter,2016-06-07T04:00:00.000Z,Closed,2016-06-22T04:00:00.000Z,71-08-12-279-022.00-026,815,E,WAYNE,St,46617,17134
ENV-16-05634,Environmental,Litter,2016-06-03T04:00:00.000Z,Closed,2016-06-15T04:00:00.000Z,71-08-02-454-004.000-026,714,,LINDSEY,ST,46616,17135
ENV-16-05731,Environmental,Litter,2016-06-06T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-03-477-012.000-026,1801,,FASSNACHT,Ave,46628,17136
ENV-16-05582,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-10-206-001.00-026,2012,,LINDEN,Ave,46628,17137
ENV-16-05785,Environmental,Litter,2016-06-07T04:00:00.000Z,Closed,2016-06-09T04:00:00.000Z,71-09-06-359-012.000-026,416,N,ARTHUR,St,46617,17138
ENV-16-05840,Environmental,Grass and Weeds,2016-06-07T04:00:00.000Z,Closed,2016-06-23T04:00:00.000Z,71-03-33-476-020.000-026,1404,N,KENMORE,St,46628,17139
ENV-16-05732,Environmental,Litter,2016-06-06T04:00:00.000Z,Billed,2016-06-21T04:00:00.000Z,71-08-03-479-026.000-026,1607,,FASSNACHT,Ave,46628,17140
ENV-16-05635,Environmental,Grass and Weeds,2016-06-03T04:00:00.000Z,Closed,2016-06-03T04:00:00.000Z,71-08-10-176-017.000-026,2602,W,WASHINGTON,ST,46628,17141
ENV-16-05583,Environmental,Grass and Weeds,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-09-06-356-010.000-026,1253,,CEDAR,ST,46617,17142
ENV-16-05687,Environmental,Grass and Weeds,2016-06-04T04:00:00.000Z,Closed,2016-06-17T04:00:00.000Z,71-08-11-178-003.00-026,262,,MAPLE,St,46601,17143
ENV-16-05533,Environmental,Litter,2016-06-02T04:00:00.000Z,Closed,2016-06-14T04:00:00.000Z,71-09-08-408-012.00-026,612,S,31ST,St,46615,17144
ENV-16-05786,Environmental,Litter,2016-06-07T04:00:00.000Z,Closed,2016-06-20T04:00:00.000Z,71-08-14-478-001.000-026,416,W,CALVERT,ST,46613,17145
ENV-16-05841,Environmental,Grass and Weeds,2016-06-07T04:00:00.000Z,Closed,2016-06-23T04:00:00.000Z,71-08-12-282-011.00-026,314,S,SAINT PETER,St,46617,17146
ENV-16-05733,Environmental,Grass and Weeds,2016-06-06T04:00:00.000Z,Closed,2016-06-22T04:00:00.000Z,71-08-03-453-010.00-026,2300,,BERTRAND,St,46628,17147
